participant,date,condition,t_1,t_2,t_3,t_4,t_5
142,2019-03-01,Control,13:05:05,13:25:32,13:29:03,13:41:13,13:46:07
143,2019-03-11,HAI,13:05:22,13:24:16,13:28:19,13:41:53,13:46:53
144,2019-03-01,Control,14:01:00,14:21:39,14:25:14,14:39:08,14:43:45
145,2019-03-11,HAI,14:03:13,14:23:25,14:27:31,14:41:20,14:47:44
146,2019-03-11,Control,15:03:12,15:19:28,15:23:14,15:36:27,15:40:55
147,2019-03-11,HAI,16:10:46,16:28:40,16:32:56,16:45:14,16:49:53
148,2019-03-25,Control,13:07:17,13:26:18,13:30:25,13:42:40,13:47:19
149,2019-03-15,HAI,11:37:49,11:57:22,12:01:06,12:14:03,12:18:40
150,2019-03-25,Control,14:03:18,14:22:40,14:26:09,14:39:03,14:43:42
151,2019-03-15,HAI,15:01:12,15:19:53,15:23:50,15:37:31,15:42:15
152,2019-03-25,Control,15:07:43,15:26:31,15:29:58,15:42:33,15:45:26
153,2019-03-15,HAI,16:09:20,16:33:08,16:37:04,16:54:03,17:00:50
154,2019-03-25,Control,15:55:32,16:16:03,16:19:28,16:32:57,16:39:22
155,2019-03-29,HAI,12:11:02,12:31:49,12:35:32,12:48:32,12:53:07
156,2019-03-27,Control,11:35:17,11:56:10,11:59:45,12:16:25,12:22:20
157,2019-03-29,HAI,14:38:56,14:55:42,15:01:21,15:13:04,15:16:54
158,2019-03-28,Control,13:21:36,13:39:33,13:43:15,13:56:02,13:59:38
159,2019-04-01,HAI,13:03:31,13:23:52,13:27:45,13:41:11,13:46:22
160,2019-04-01,Control,15:59:21,16:16:06,16:20:15,16:33:45,16:37:30
161,2019-04-01,HAI,14:02:12,14:20:16,14:25:19,14:37:34,14:41:47
162,2019-04-04,Control,09:36:08,10:00:37,10:04:11,10:18:30,10:25:57
163,2019-04-17,HAI,12:03:09,12:20:56,12:27:03,12:39:26,12:44:34
164,2019-04-15,Control,14:34:08,14:52:04,14:56:35,15:08:03,15:11:59
165,2019-04-17,HAI,13:04:32,13:23:16,13:27:51,13:42:31,13:47:20
166,2019-04-15,Control,15:30:00,15:50:29,15:54:43,16:08:11,16:12:54
168,2019-04-15,Control,16:32:02,16:50:53,16:56:58,17:10:25,17:20:07
169,2019-04-18,HAI,14:05:32,14:23:57,14:29:44,14:44:03,14:48:31
170,2019-04-16,Control,13:06:57,13:26:00,13:30:43,13:43:56,13:48:56
171,2019-04-18,HAI,15:05:59,15:22:23,15:27:57,15:39:22,15:43:25
172,2019-04-16,Control,14:06:08,14:20:15,14:23:47,14:34:59,14:37:26
173,2019-04-19,HAI,12:06:51,12:26:19,12:31:50,12:44:35,12:49:41
174,2019-04-18,Control,13:05:43,13:25:45,13:29:19,13:43:13,13:47:45
175,2019-04-19,HAI,14:06:31,14:23:22,14:28:20,14:40:49,14:45:23
176,2019-04-19,Control,16:01:24,16:20:48,16:24:42,16:39:23,16:43:38
177,2019-04-19,HAI,15:04:35,15:24:42,15:27:07,15:40:46,15:45:50
178,2019-04-23,Control,13:06:26,13:26:28,13:30:04,13:44:21,13:49:05
179,2019-04-22,HAI,14:05:24,14:21:02,14:26:30,14:37:59,14:42:24
180,2019-04-23,Control,14:09:56,14:30:00,14:33:32,14:45:16,14:50:10
181,2019-04-22,Control,16:02:48,16:19:41,16:22:03,16:36:19,16:41:58
182,2019-04-23,Control,16:31:21,16:51:06,16:54:33,17:07:58,17:12:38
183,2019-04-24,HAI,11:07:28,11:29:55,11:34:56,11:51:00,11:57:08
184,2019-04-24,Control,15:01:58,15:20:36,15:24:06,15:37:42,15:40:40
185,2019-04-24,HAI,12:59:20,13:20:04,13:27:38,13:41:47,13:49:28
187,2019-04-24,HAI,14:04:49,14:22:59,14:28:05,14:40:52,14:46:04
274,2019-04-17,Control,14:04:09,14:20:56,14:24:23,14:36:21,14:41:04
